id,name,gender,alias,kyc_status,confidence
PER_001,Ramesh Kumar,Male,Alias_1,PARTIAL,0.95
PER_002,Suresh Sharma,Male,Alias_2,VERIFIED,0.95
PER_003,Vikram Singh,Male,Alias_3,PARTIAL,0.95
PER_004,Amit Patel,Male,Alias_4,VERIFIED,0.95
PER_005,Rajesh Verma,Male,Alias_5,PARTIAL,0.95
PER_006,Priya Sharma,Male,Alias_6,VERIFIED,0.95
PER_007,Ankita Rao,Male,Alias_7,PARTIAL,0.95
PER_008,Deepak Gupta,Male,Alias_8,VERIFIED,0.95
PER_009,Sunil Yadav,Male,Alias_9,PARTIAL,0.95
PER_010,Manoj Joshi,Male,Alias_10,VERIFIED,0.95
PER_011,Vijay Kumar,Male,Alias_11,PARTIAL,0.95
PER_012,Rohan Mehta,Male,Alias_12,VERIFIED,0.95
PER_013,Pooja Reddy,Male,Alias_13,PARTIAL,0.95
PER_014,Neha Kapoor,Male,Alias_14,VERIFIED,0.95
PER_015,Rahul Malhotra,Male,Alias_15,PARTIAL,0.95
PER_016,Karan Saxena,Male,Alias_16,VERIFIED,0.95
PER_017,Sanjay Choudhary,Male,Alias_17,PARTIAL,0.95
PER_018,Alok Mishra,Male,Alias_18,VERIFIED,0.95
PER_019,Nitin Deshmukh,Male,Alias_19,PARTIAL,0.95
PER_020,Gaurav Tiwari,Male,Alias_20,VERIFIED,0.95
PER_021,Ajay Nair,Male,Alias_21,PARTIAL,0.95
PER_022,Vikas Agarwal,Male,Alias_22,VERIFIED,0.95
PER_023,Tarun Roy,Male,Alias_23,PARTIAL,0.95
PER_024,Manish Pandey,Male,Alias_24,VERIFIED,0.95
PER_025,Abhishek Dubey,Male,Alias_25,PARTIAL,0.95
PER_026,Siddharth Shah,Male,Alias_26,VERIFIED,0.95
PER_027,Dinesh Kulkarni,Male,Alias_27,PARTIAL,0.95
PER_028,Pradeep Bansal,Male,Alias_28,VERIFIED,0.95
PER_029,Harish Bhatia,Male,Alias_29,PARTIAL,0.95
PER_030,Ashok Solanki,Male,Alias_30,VERIFIED,0.95
PER_031,Rakesh Mittal,Male,Alias_31,PARTIAL,0.95
PER_032,Mukesh Soni,Male,Alias_32,VERIFIED,0.95
PER_033,Anil Chauhan,Male,Alias_33,PARTIAL,0.95
PER_034,Vinod Thakur,Male,Alias_34,VERIFIED,0.95
PER_035,Pankaj Jain,Male,Alias_35,PARTIAL,0.95
PER_036,Lokesh Tripathi,Male,Alias_36,VERIFIED,0.95
PER_037,Devendra Rathore,Male,Alias_37,PARTIAL,0.95
PER_038,Brijesh Gautam,Male,Alias_38,VERIFIED,0.95
PER_039,Shailesh Hegde,Male,Alias_39,PARTIAL,0.95
PER_040,Ganesh Shetty,Male,Alias_40,VERIFIED,0.95
PER_041,Kavita Deshpande,Female,Alias_41,PARTIAL,0.95
PER_042,Sunita Wagh,Female,Alias_42,VERIFIED,0.95
PER_043,Meena Mukherjee,Female,Alias_43,PARTIAL,0.95
PER_044,Ritu Sengupta,Female,Alias_44,VERIFIED,0.95
PER_045,Swati Pillai,Female,Alias_45,PARTIAL,0.95
PER_046,Preeti Iyengar,Female,Alias_46,VERIFIED,0.95
PER_047,Anjali Nambiar,Female,Alias_47,PARTIAL,0.95
PER_048,Divya Menon,Female,Alias_48,VERIFIED,0.95
PER_049,Poonam Das,Female,Alias_49,PARTIAL,0.95
PER_050,Sarita Kulkarni,Female,Alias_50,VERIFIED,0.95
