id,number,provider,confidence
PHN_001,+919845935572,Airtel,0.98
PHN_002,+919886125617,Airtel,0.98
PHN_003,+919897971488,Jio,0.98
PHN_004,+919896282117,Airtel,0.98
PHN_005,+919845551614,Airtel,0.98
PHN_006,+919885345555,Jio,0.98
PHN_007,+919888461803,Vi,0.98
PHN_008,+919863606628,Airtel,0.98
PHN_009,+919828566572,Jio,0.98
PHN_010,+919822201654,Airtel,0.98
PHN_011,+919830514014,Airtel,0.98
PHN_012,+919866661351,Airtel,0.98
PHN_013,+919861642594,Vi,0.98
PHN_014,+919872820592,Jio,0.98
PHN_015,+919884252722,Vi,0.98
PHN_016,+919825374874,Jio,0.98
PHN_017,+919896028436,Airtel,0.98
PHN_018,+919849392920,Airtel,0.98
PHN_019,+919870897765,Vi,0.98
PHN_020,+919845351479,Airtel,0.98
